ALBUM,ID,AmSong,MOJO,Q,RoughT,UNCUT,SPIN,SGUM,RS,CPLEX,CoS,GvB,PASTE,NME,QUIETUS,NOISEY,NPR,POPMAT,FACT,PFORK,WIRE,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Mac DeMarco - Another One,110,,,50,36,,,,,,,,,27,,,,,,,,,37.67,12.55555556,69.4,3,0
Dilly Dally - Sore,258,,,,,,,,,,,34,48,,,31,,,,,,,37.67,12.55555556,69.4,3,0
Houndmouth - Little Neon Limelight,13,13,,,,,,,,,,,,,,,,26,,,,,19.50,9.75,69.45,2,0
Colleen Green - I Want to Grow Up,148,,,,,,31,8,,,,,,,,,,,,,,,19.50,9.75,69.45,2,1
The Game - The Documentary 2,207,,,,,,,,,14,,,,,,,25,,,,,,19.50,9.75,69.45,2,0
Neon Indian - VEGA INTL. Night School,219,,,,,,,,,44,,35,,,,,,,,35,,,38.00,12.66666667,69.45,3,0
Girlpool - Before the World Was Big,154,,,,,,49,41,,,,,,,,,25,,,,,,38.33,12.77777778,69.5,3,0
JME - Integrity>,214,,,,,,,,,34,,,,,,6,,,,,,,20.00,10,69.5,2,1
Mountain Goats - Beat The Champ,271,,,,,,,,,,,,11,,,,,29,,,,,20.00,10,69.5,2,0
Ibeyi - Ibeyi,63,,49,,43,,,,,,,,,,,,25,,,,,,39.00,13,69.6,3,0
Lupe Fiasco - Tetsuo & Youth,205,,,,,,,,,11,,,,,,,,31,,,,,21.00,10.5,69.6,2,0
Bop English - Constant Bop,121,,,,26,,,,,,,17,,,,,,,,,,,21.50,10.75,69.65,2,0
Rhiannon Giddens - Tomorrow is My Turn,198,,,,,,,,46,,,,,,,,25,47,,,,,39.33,13.11111111,69.65,3,0
Patty Griffin - Servant of Love,19,19,,,,,,,,,,,,,,,25,,,,,,22.00,11,69.7,2,0
DJ Richard - Grind,315,,,,,,,,,,,,,,35,,,,9,,,,22.00,11,69.7,2,1
Richard Thompson - Still,81,,21,,,24,,,,,,,,,,,,,,,,,22.50,11.25,69.75,2,0
Abra - Rose,253,,,,,,,,,,,28,,,,,,,17,,,,22.50,11.25,69.75,2,0
Carter Tutti Void - f(x),294,,,,,,,,,,,,,,4,,,,,,41,,22.50,11.25,69.75,2,1
Bully - Feels Like,40,40,,,,,39,,,,42,,,,,,,,,,,,40.33,13.44444444,69.8,3,0
Gaz Coombes - Matador,61,,24,22,,,,,,,,,,,,,,,,,,,23.00,11.5,69.8,2,0
Domenique Dumont - Comme Ça,249,,,,,,,,,,,22,,,,,,,,,26,,24.00,12,69.9,2,0
Justin Bieber - Purpose,201,,,,,,,,,5,,,,,,44,,,,,,,24.50,12.25,69.95,2,1
Helen - The Original Faces,239,,,,,,,,,,,7,,,,,,,42,,,,24.50,12.25,69.95,2,1
King Midas Sound & Fennesz - Edition One,303,,,,,,,,,,,,,,18,,,,,,31,,24.50,12.25,69.95,2,0
Heiroglyphic Being & J.I.T.U. Ahn-Sahm-Bul - We Are Not...,375,,,,,,,,,,,,,,,,,,38,,11,,24.50,12.25,69.95,2,0
Noel Gallagher's High Flying Birds - Chasing Yesterday,78,,33,17,,,,,,,,,,,,,,,,,,,25.00,12.5,70,2,0
Ty Dolla $ign - Free TC,211,,,,,,,,,25,,,,,,,25,,,,,,25.00,12.5,70,2,0
Dawn Richard - Blackheart,371,,,,,,,,,,,,,,,,,,1,50,,,25.50,12.75,70.05,2,1
Josh Ritter - Sermon on the Rocks,20,20,,,,,,,,,,,,,,,,32,,,,,26.00,13,70.1,2,0
My Morning Jacket - The Waterfall,38,38,,,,48,,,,,,,42,,,,,,,,,,42.67,14.22222222,70.15,3,0
Bassekou Kouyate & Ngoni Ba - Ba Power,138,,,,,28,,,,,,,,,26,,,,,,,,27.00,13.5,70.2,2,0
Speedy Ortiz - Foil Deer,185,,,,,,,44,,45,,,,,,41,,,,,,,43.33,14.44444444,70.25,3,0
Keith Richards - Crosseyed Heart,70,,39,,,,,,17,,,,,,,,,,,,,,28.00,14,70.3,2,0
Gnod - Infinity Machines,307,,,,,,,,,,,,,,22,,,,,,34,,28.00,14,70.3,2,0
M.E.S.H. - Piteous Gate,324,,,,,,,,,,,,,,47,,,,12,,,,29.50,14.75,70.45,2,0
Boz Scaggs - A Fool to Care,55,,42,,,,,,18,,,,,,,,,,,,,,30.00,15,70.5,2,0
Dave Rawlings Machine - Nashville Obsolete,23,23,,,,38,,,,,,,,,,,,,,,,,30.50,15.25,70.55,2,0
Nidia Minaj - Danger,390,,,,,,,,,,,,,,,,,,32,,30,,31.00,15.5,70.6,2,0
"Jerusalem In My Heart - If He Dies, If If If If If If",309,,,,,,,,,,,,,,24,,,,,,39,,31.50,15.75,70.65,2,0
Libertines - Anthems for Doomed Youth,71,,35,,,,,,,,,,,29,,,,,,,,,32.00,16,70.7,2,0
Desaparecidos - Payola,281,,,,,,,,,,,,45,,,20,,,,,,,32.50,16.25,70.75,2,0
Hooton Tennis Club - Highest Point in Cliff Town,62,,17,49,,,,,,,,,,,,,,,,,,,33.00,16.5,70.8,2,0
Palma Violets - Danger in the Club,108,,,46,20,,,,,,,,,,,,,,,,,,33.00,16.5,70.8,2,0
Gwenno - Y Dydd Olaf,109,,,47,,22,,,,,,,,,,,,,,,,,34.50,17.25,70.95,2,0
Calexico - Edge of the Sun,118,,,,21,,,,,,,,50,,,,,,,,,,35.50,17.75,71.05,2,0
Slaves - Are You Satisfied?,104,,,42,,,,,,,,,,31,,,,,,,,,36.50,18.25,71.15,2,0
Colleen - Captain of None,132,,,,48,,,,,,,,,,,,25,,,,,,36.50,18.25,71.15,2,0
Fifth Harmony - Reflection,217,,,,,,,,,39,,,,,,,,,34,,,,36.50,18.25,71.15,2,0
Bomba Estereo - Amanecer,200,,,,,,,,50,,,,,,,,25,,,,,,37.50,18.75,71.25,2,0
Promised Land Sound - For Use and Delight,39,39,37,,,,,,,,,,,,,,,,,,,,38.00,19,71.3,2,0
JD McPherson - Let the Good Times Roll,140,,,,,42,,,,,,,34,,,,,,,,,,38.00,19,71.3,2,0
"RP Boo - Fingers, Bank Pads, and Shoe Prints",165,,,,,,47,,,,,,,,29,,,,,,,,38.00,19,71.3,2,0
Stara Rzeka - Zamknely Sie Oczy Ziemi,293,,,,,,,,,,,,,,2,,,,,,,,2.00,2,71.35,1,1
Joshua Abrams - Magnetoception,399,,,,,,,,,,,,,,,,,,,,3,,3.00,3,71.4,1,1
James McMurty - Complicated Game,5,5,,,,,,,,,,,,,,,,,,,,,5.00,5,71.5,1,1
Max Richter - From Sleep,112,,,,5,,,,,,,,,,,,,,,,,,5.00,5,71.5,1,1
Cindy Lee - Act of Tenderness,238,,,,,,,,,,,5,,,,,,,,,,,5.00,5,71.5,1,1
Heather Leigh - I Abused Animal,400,,,,,,,,,,,,,,,,,,,,5,,5.00,5,71.5,1,1
Big Sean - Dark Sky Paradise,202,,,,,,,,,6,,,,,,,,,,,,,6.00,6,71.55,1,1
East India Youth - Culture of Volume,296,,,,,,,,,,,,,,6,,,,,,,,6.00,6,71.55,1,1
EEK - Kahraba,297,,,,,,,,,,,,,,7,,,,,,,,7.00,7,71.6,1,1
G.L.O.S.S. - Demo,327,,,,,,,,,,,,,,,7,,,,,,,7.00,7,71.6,1,1
Craig Finn - Faith in the Future,8,8,,,,,,,,,,,,,,,,,,,,,8.00,8,71.65,1,1
Lower Dens - Escape From Evil,240,,,,,,,,,,,8,,,,,,,,,,,8.00,8,71.65,1,1
Romare - Projections,114,,,,9,,,,,,,,,,,,,,,,,,9.00,9,71.7,1,1
"Arcs - Yours, Dreamily",188,,,,,,,,9,,,,,,,,,,,,,,9.00,9,71.7,1,1
Beach House - Thank Your Lucky Stars,241,,,,,,,,,,,9,,,,,,,,,,,9.00,9,71.7,1,1
Misbyrming - Söngvar elds og oreiou,328,,,,,,,,,,,,,,,9,,,,,,,9.00,9,71.7,1,1
Alex G - Beach Music,144,,,,,,10,,,,,,,,,,,,,,,,10.00,10,71.75,1,1
George Clanton - 100% Electronica,242,,,,,,,,,,,10,,,,,,,,,,,10.00,10,71.75,1,1
Necks - Vertigo,401,,,,,,,,,,,,,,,,,,,,10,,10.00,10,71.75,1,1
Janet Jackson - Unbreakable,156,,,,,,50,,,,,,,,,,,,,36,,,43.00,21.5,71.8,2,0
Rustie - EVENIFUDONTBELIEVE,391,,,,,,,,,,,,,,,,,,11,,,,11.00,11,71.8,1,0
Elysia Crampton - American Drift,298,,,,,,,,,,,,,,12,,,,,,,,12.00,12,71.85,1,0
The World is a Beautiful Place... - Harmlessness,172,,,,,,,13,,,,,,,,,,,,,,,13.00,13,71.9,1,0
Inward Circles - Belated Movements for an Unsanctioned...,299,,,,,,,,,,,,,,13,,,,,,,,13.00,13,71.9,1,0
Sporting Life - 55 5's,329,,,,,,,,,,,,,,,13,,,,,,,13.00,13,71.9,1,0
Algiers - Algiers,360,,,,,,,,,,,,,,,,,13,,,,,13.00,13,71.9,1,0
Acre - Better Strangers,367,,,,,,,,,,,,,,,,,,13,,,,13.00,13,71.9,1,0
Nadine Shah - Fast Food,115,,,,14,,,,,,,,,,,,,,,,,,14.00,14,71.95,1,0
Robert Forster - Songs to Play,135,,,,,14,,,,,,,,,,,,,,,,,14.00,14,71.95,1,0
Julien Baker - Sprained Ankle,184,,,,,,,40,,,,,49,,,,,,,,,,44.50,22.25,71.95,2,0
Jefre Cantu-Ledesma - A Year with 13 Moons,378,,,,,,,,,,,,,,,,,,14,,,,14.00,14,71.95,1,0
Rayland Baxter - Imaginary Man,15,15,,,,,,,,,,,,,,,,,,,,,15.00,15,72,1,0
Richard Dawson - Nothing Important,80,,15,,,,,,,,,,,,,,,,,,,,15.00,15,72,1,0
Wand - Golem,116,,,,15,,,,,,,,,,,,,,,,,,15.00,15,72,1,0
Dan Deacon - Gliss Riffer,225,,,,,,,,,,15,,,,,,,,,,,,15.00,15,72,1,0
Ryan Adams - 1989,279,,,,,,,,,,,,40,50,,,,,,,,,45.00,22.5,72,2,0
Death's Dynamic Shroud.wmv - I'll Try Living Like This,372,,,,,,,,,,,,,,,,,,15,,,,15.00,15,72,1,0
Graham Lambkin & Michael Pisaro - Schwarze Riesenfalter,402,,,,,,,,,,,,,,,,,,,,15,,15.00,15,72,1,0
Weather Station - Loyalty,136,,,,,16,,,,,,,,,,,,,,,,,16.00,16,72.05,1,0
Kuedo - Assertion of a Surrounding Presence,386,,,,,,,,,,,,,,,,,,16,,,,16.00,16,72.05,1,0
Raphael Roginski - Plays John Coltrane...,403,,,,,,,,,,,,,,,,,,,,16,,16.00,16,72.05,1,0
Dawes - All Your Favorite Bands,17,17,,,,,,,,,,,,,,,,,,,,,17.00,17,72.1,1,0
Windhand - Grief's Infernal Flower,226,,,,,,,,,,17,,,,,,,,,,,,17.00,17,72.1,1,0
Teeth of the Sea - Highly Deadly Black Tarantula,302,,,,,,,,,,,,,,17,,,,,,,,17.00,17,72.1,1,0
Districts - A Flourish and a Spoil,227,,,,,,,,,,18,,,,,,,,,,,,18.00,18,72.15,1,0
Cousin Stizz - Suffolk County,245,,,,,,,,,,,18,,,,,,,,,,,18.00,18,72.15,1,0
Swim Deep - Mothers,284,,,,,,,,,,,,,18,,,,,,,,,18.00,18,72.15,1,0
