ALBUM,ID,genre,RoughT,MOJO,UNCUT,NME,CoS,RS,PASTE,SGUM,SKINNY,CRACK,AmSong,GvsB,NPR,CMPLX,QTUS,NOISEY,EW,FL,TRBLE,PMA,mOMH,POPMT,VRNCE,JJ,SPIN,BLBRD,P4K,FACT,WIRE,LINE,BLARE,TMT,INROX,Q,VF,WEISS,,AVG,WT-AVG,CONS-SCORE,# Lists,Top 10s
Ryley Walker - Golden Sings That Have Been Sung,29,singer-songwriter,29,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.33,6.111111111,70.27777778,3,1
Isaiah Rashad - The Sun's Tirade,462,hip hop,,,,,,,,,,,,,,,,,,,,,,44,47,,,,,,,36,,,,,,3,,32.50,8.125,70.27777778,4,1
Powell - Sport,9,techno,9,,,,,,,,,20,,,,,,,,,,,,,,,,,,30,,,,,,,,,,19.67,6.555555556,70.38888889,3,1
Lil Yachty - Lil Boat,357,hip hop,,,,,,,,,,,,,,31,,16,,,,,,,,,,,,,,,,12,,,,,,19.67,6.555555556,70.38888889,3,0
Touche Amore - Stage Four,239,post-hardcore,,,,,,,,46,,,,,,,,38,,,45,,,,,,,,,,,,6,,,,,,,33.75,8.4375,70.41666667,4,1
Teenage Fanclub - Here,72,jangle pop,,13,9,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,7,70.5,3,1
Tove Lo - Lady Wood,210,electropop,,,,,,38,,,,,,,,,,,31,,,,,,,,,36,,,,33,,,,,,,,34.50,8.625,70.5,4,0
Japanese Breakfast - Psychopomp,187,indie pop,,,,,47,,31,27,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,35.50,8.875,70.61111111,4,0
Elysia Crampton - Demon City,538,uk bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,19,,,19,,,23.67,7.888888889,70.72222222,3,0
Lucinda Williams - The Ghosts of Highway 20,159,americana,,,34,,,,,,,,15,,,,,,,,,,,24,,,,,,,,,,,,,,,,24.33,8.111111111,70.77777778,3,0
DAWN - Redemption,228,alternative r&b,,,,,,,40,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,25,,24.67,8.222222222,70.80555556,3,1
Carla dal Forno - You Know What It's Like,315,electronic,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,20,,,,,,31,,,25.00,8.333333333,70.83333333,3,0
Laura Mvula - The Dreaming Room,344,art pop,,,,,,,,,,,,,18,,,,,,,,,34,,23,,,,,,,,,,,,,,25.00,8.333333333,70.83333333,3,0
Nao - For All We Know,70,alternative r&b,,,,30,,,,,18,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,25.67,8.555555556,70.88888889,3,0
Soft Hair - Soft Hair,170,psychedelic pop,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,,25.67,8.555555556,70.88888889,3,0
Jamie T - Trick,182,neo-psychedelia,,,,14,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,30,,,,25.67,8.555555556,70.88888889,3,0
Sunflower Bean - Human Ceremony,26,neo-psychedelia,26,,,12,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,26.00,8.666666667,70.91666667,3,0
DIIV - Is the Is Are,183,dream pop,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,45,,,,,27.00,9,71,3,1
