ALBUM,ID,genre,ALBM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GIGWS,GDINTV,GMA,GVSB,GUARD,HOTPRS,KRNG,L&Q,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,NPR,OOR,PASTE,PICC,PFORK,POPMT,QTUS,RIFF,RS,RTRADE,SLANT,SPTNIK,SGUM,SUNTIM,TREBLE,UNCUT,UTR,WIRE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Taj Mahal & Ry Cooder - GET ON BOARD,972,blues,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
The Gentle Cycle - Landslide Eyes,992,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
Enumclaw - Save the Baby,690,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
Roddy Ricch - Feed Tha Streets III,326,hip hop,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
Stray Kids - Maxident,339,pop,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
Julianna Riolino - All Blue,366,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
CS + Kreme - Orange,400,experimental,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
The Coronas - Time Stopped,532,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
40 Watt Sun - Perfect Light,541,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,38.00,38,75.80851064,1,0,0
Mt. Oriander - Then the Lightness Leaves and I Become Heavy Again,848,rock,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
Sniffany & The Nits - The Unscratchable Itch,950,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
Electric Callboy - Tekkno,1066,metal,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,38.00,38,75.80851064,1,0,0
ABADIR - Mutate,546,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
Stony Sugarskull - PRINCESS,960,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
Crack Cloud - Tough Baby,397,rock,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
SAULT - Untitled (God),484,soul,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
"Megadeth - The Sick, The Dying...And the Dead!",833,metal,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
"Rainy Miller - Desquamation (Fire, Burn. Nobody)",321,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
Joey Bada$$ - 2000,282,hip hop,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
First Hate - Cotton Candy,410,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
SAULT - Earth,482,soul,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
SAULT - Today & Tomorrow,483,rock,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
Say Sue Me - The Last Thing Left,928,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
Szun Waves - Earth Patterns,971,electronic,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
The Regrettes - Further Joy,1001,rock,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00,39,75.82978723,1,0,0
"Ty Segall - ""Hello, Hi""",508,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,40.00,40,75.85106383,1,0,0
Julmud - Tuqoos,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,40.00,40,75.85106383,1,0,0
Tanika Charles - Papillon de Nuit: The Night Butterfly,60,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,75.85106383,1,0,0
454 - FAST TRAX 3,372,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,75.85106383,1,0,0
Sofie Royer - Harlequin,490,pop,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,75.85106383,1,0,0
Wallis Bird - HANDS,533,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,75.85106383,1,0,0
Greet Death - New Low,717,rock,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,75.85106383,1,0,0
Fresh - Raise Hell,1055,rock,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,40,75.85106383,1,0,0
Belle and Sebastian - A Bit of Previous,117,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,41.00,41,75.87234043,1,0,0
Sunflower Bean - Headful of Sugar,967,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Martha - Please Don't Take Me Back,824,rock,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Kramer - Music For Films Edited By Moths,794,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Goon - Hour of Green Evening,414,rock,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Wake - Thought Form Descent,352,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,41.00,41,75.87234043,1,0,0
Sam Prekop & John McEntire - Sons Of,923,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Greg Puciato - Mirrorcell,718,rock,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Ghais Guevara - There Will Be No Super-Slave,163,hip hop,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Ben Lee - I'M FUN!,242,folk,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Selló - SellóTape,534,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Alvin Curran - Drumming Up Trouble,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,41.00,41,75.87234043,1,0,0
Charles Stepney - Step on Step,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,41.00,41,75.87234043,1,0,0
Cloakroom - Dissolution Wave,637,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Heriot - Profound Morality,1067,metal,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,41,75.87234043,1,0,0
Everything Everything - Raw Data Feel,695,electronic,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,75.89361702,1,0,0
Jana Horn - Optimism,758,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,42.00,42,75.89361702,1,0,0
Greentea Peng - Greenzone 108,716,soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,42.00,42,75.89361702,1,0,0
Ron Trent - WARM: What Do The Stars Say to You,329,electronic,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,75.89361702,1,0,0
Anarchistwood - Chiasmata,555,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,75.89361702,1,0,0
STR4TA - STR4TASFEAR,62,jazz,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,75.89361702,1,0,0
"Flo Milli - You Still Here, Ho?",267,hip hop,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,75.89361702,1,0,0
Duster - Together,151,rock,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,75.89361702,1,0,0
N Chambers - Mirage Colony,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,42.00,42,75.89361702,1,0,0
Sabaton - The War to End All Wars,1068,metal,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,42.00,42,75.89361702,1,0,0
Metric - Formentera,838,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,43.00,43,75.91489362,1,0,0
Maya Hawke - MOSS,830,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,43.00,43,75.91489362,1,0,0
Trueno - Bien o Mal,1019,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,43.00,43,75.91489362,1,0,0
Little Simz - NO THANK YOU,443,hip hop,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,75.91489362,1,0,0
Charlie Puth - Charlie,137,pop,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,75.91489362,1,0,0
Stand Atlantic - f.e.a.r.,957,rock,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,75.91489362,1,0,0
Jane Inc - Faster Than I Can Take,425,pop,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,75.91489362,1,0,0
Young Miko - TRAP KITTY,520,hip hop,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,75.91489362,1,0,0
"Camp Trash - The Long Way, The Slow Way",609,rock,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,43,75.91489362,1,0,0
Phelimuncasi - Ama Gogela,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,43.00,43,75.91489362,1,0,0
Somewhere South Of Here - Leave Me For The Crows,954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,43.00,43,75.91489362,1,0,0
White Lung - Premonition,1032,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,43.00,43,75.91489362,1,0,0
Carmen Villain - Only Love From Now On,136,electronic,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Flohio - Out of Heart,698,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Plastikman & Chilly Gonzales - Consumed in Key,895,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Lauran Hibberd - Garageband Superstar,441,rock,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Lucky Daye - Candydrip,811,r&b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Freya Josephine Hollick - The Real World,268,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Magi Merlin - Gone Girl,367,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Yasuaki Shimizu - Kiren,518,electronic,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Sorcha Richardson - Smiling Like An Idiot,535,rock,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Bandmanrill - Club Godfather,577,hip hop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,44.00,44,75.93617021,1,0,0
Black Magnet - Body Prophecy,588,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,44.00,44,75.93617021,1,0,0
Palaye Royale - Fever Dream,879,rock,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Blood Command - Praise Armageddon,1069,rock,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,44.00,44,75.93617021,1,0,0
Hater - Sincere,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,45.00,45,75.95744681,1,0,0
Empath - Visitor,153,rock,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Dale Cornish - Traditional Music of South London,259,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Pixies - Doggerel,536,rock,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Piri & Tommy - froge.mp3,475,pop,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Calexico - El Mirador,606,folk,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Rod Wave - Beautiful Mind,325,hip hop,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Joyful Joyful - Joyful Joyful,368,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Boldy James & Nicholas Craven - Fair Exchange No Robbery,386,hip hop,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Jack J - Opening the Door,422,pop,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Ural Thomas & The Pain - Dancing Dimensions,509,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Cécile McLorin Salvant - Ghost Song,621,jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Sessa - Estrela Acesa,935,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,45.00,45,75.95744681,1,0,0
Tomáš Niesner - Bečvou,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,45.00,45,75.95744681,1,0,0
August Is Falling - The Simple Plan EP,1056,rock,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
Fit For An Autopsy - Oh What the Future Holds,1070,rock,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,45,75.95744681,1,0,0
NewJeans - New Jeans,857,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,46.00,46,75.9787234,1,0,0
Lee Bains III & The Glory Fires - Old-Time Folks,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,46.00,46,75.9787234,1,0,0
Ibrahim Maalouf & Angelique Kidjo - Queen of Sheba,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,46.00,46,75.9787234,1,0,0
The Proclaimers - Dentures Out,504,rock,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,75.9787234,1,0,0
The William Lovejoy Intention - The Baptiser,1010,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,75.9787234,1,0,0
Aeviterne - The Ailing Facade,119,metal,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,75.9787234,1,0,0
Mapache - Roscoe's Dream,295,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,75.9787234,1,0,0
Ekkstacy - misery,405,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,75.9787234,1,0,0
Róisín O - Courageous,537,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00,46,75.9787234,1,0,0
Arca - KicK iii,564,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,46.00,46,75.9787234,1,0,0
Bad Omens - THE DEATH OF PEACE,576,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,47.00,47,76,1,0,0
Lala &ce & Low Jack - Baiser Mortel,797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,47.00,47,76,1,0,0
Michaela Anne - Oh To Be That Free,67,country,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
Kreator - Hate Über Alles,287,metal,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
JER - Bothered/Unbothered,170,rock,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
Low End Activist - Hostile Utopia,292,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
Party Dozen - The Real Work,314,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
Badge Époque Ensemble - Clouds of Joy,369,jazz,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
Hudson Taylor - Searching For The Answers,538,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
Cheekface - Too Much To Ask,626,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
Ishmael Reed - The Hands of Grace,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,47.00,47,76,1,0,0
John Fullbright - The Liar,767,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
snow ellet - Glory Days,951,rock,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,47,76,1,0,0
Sun's Signature - Sun's Signature,966,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,47.00,47,76,1,0,0
Carson McHone - Still Life,618,folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,48.00,48,76.0212766,1,0,0
Metronomy - Small World,452,pop,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Rauw Alejandro - SATURNO,322,pop,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Rigorous Institution - Cainsmarch,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Midlake - For the Sake of Bethel Woods,840,rock,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Bonnie Raitt - Just Like That...,101,folk,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Body Tape - Everything is Dangerous But Nothing's Surprising,250,rock,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Nosaj Thing - Continua,462,electronic,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Joywave - Cleanse,772,pop,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Sean Shibe - Lost & Found,934,classical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Jo Quail - The Cartographer,1071,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,48,76.0212766,1,0,0
Superorganism - World Wide Pop,968,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Mark Peters - Red Sunset Dreams,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,49.00,49,76.04255319,1,0,0
Placebo - Never Let Me Go,69,rock,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Shinedown - Planet Zero,942,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Sofie Birch & Antonina Nowacka - Languoria,952,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Loraine James - Building Something Beautiful For Me,807,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,49.00,49,76.04255319,1,0,0
Dungen - En Är För Mycket och Tusen Aldrig Nog,679,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Boy Harsher - The Runner (Original Soundtrack),597,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Liam Gallagher - C'MON YOU KNOW,86,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Youngboy Never Broke Again - 3800 Degrees,359,hip hop,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Black Sherif - The Villain I Never Was,384,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Tan Cologne - Earth Visions of Water Spaces,496,pop,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00,49,76.04255319,1,0,0
Deliluh - Fault Lines,667,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,49.00,49,76.04255319,1,0,0
C Duncan - Alluvium,605,pop,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
Melting Palms - Noise Between the Shades,835,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
Lewis Taylor - Numb,70,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
Friendship - Love the Stranger,160,country,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
TENGGER - Earthing,215,electronic,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
V/A - Elvis OST,224,pop,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
Joji - Smithereens,283,r&b,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
Sister Ray - Communion,371,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
Shinichi Atobe - Love of Plastic,486,electronic,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00,50,76.06382979,1,0,0
