ALBUM,ID,genre,ALBM,ALTRNV,BPM,BLBRD,BKVEG,CLASH,CMPLX,COS,CRACK,DOUBJ,EXCLM,FADER,FAROUT,GIGWS,GDINTV,GMA,GVSB,GUARD,HOTPRS,KRNG,L&Q,LTW,METHAM,MOJO,MONDO,MSOMH,NME,NORIP,NORTH,NPR,OOR,PASTE,PICC,PFORK,POPMT,QTUS,RIFF,RS,RTRADE,SLANT,SPTNIK,SGUM,SUNTIM,TREBLE,UNCUT,UTR,WIRE,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Kelly Lee Owens - LP.8,782,electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,15,,,,,,,,,,32.50,16.25,74.78723404,2,0,0
Ari Lennox - age/sex/location,104,soul,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,32.50,16.25,74.78723404,2,0,0
Kurt Vile - (watch my moves),795,rock,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,20,,,,33.00,16.5,74.80851064,2,0,0
Cass McCombs - Heartmind,619,folk,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,25,,,,33.50,16.75,74.82978723,2,0,0
BLACKPINK - BORN PINK,130,pop,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,33.50,16.75,74.82978723,2,0,0
Eddie Vedder - Earthling,73,rock,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,33.50,16.75,74.82978723,2,0,0
Johnny Marr - Fever Dreams Pts. 1-4,430,rock,,,,,,,,,,,,,,,20,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,33.50,16.75,74.82978723,2,0,0
Stormzy - This Is What I Mean,212,hip hop,,,,,,20,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.50,16.75,74.82978723,2,0,0
"Burna Boy - Love, Damini",134,hip hop,,,,,,28,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.50,16.75,74.82978723,2,0,0
Meshuggah - Immutable,837,rock,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,17,,,,,,,,33.50,16.75,74.82978723,2,0,0
