ALBUM,ID,genre,ALBISM,CMPLX,CoS,MOJO,PASTE,QUIETUS,ROUGH,SGUM,TREBLE,UNCUT,UPROXX,WIRE,RS,P4K,BLBRD,CRACK,DBLJ,POPMAT,,,,,,,,,,,,,,,,AVG,WT-AVG,CONS SCORE,# Lists,Top 10s,#1s
Mustard - Perfect Ten,85,Trap Rap,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,71.27777778,1,1,0
Great Grandpa - Four of Arrows,243,Indie Rock,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,8,71.27777778,1,1,0
People Like Us - The Mirror,304,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,8.00,8,71.27777778,1,1,0
Fennesz - Agora,324,Ambient,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8.00,8,71.27777778,1,1,0
Brìghde Chaimbeul - The Reeling,196,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,71.33333333,1,1,0
Kate Tempest - The Book of Traps and Lessons,204,Spoken Word,,,,,,,48,,,,,,,,,,36,,,,,,,,,,,,,,,,,42.00,21,71.33333333,2,0,0
Ex:Re - Ex:Re,228,Dream Pop,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,71.33333333,1,1,0
Pharmakon - Devour,257,Death Industrial,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,9.00,9,71.33333333,1,1,0
Joshua Abrams & Natural Information Society - Mandatory Reality,303,Jazz,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,9.00,9,71.33333333,1,1,0
Schoolboy Q - Crash Talk,83,Trap Rap,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,71.38888889,1,1,0
"Lee ""Scratch"" Perry - Rainford",146,Dub,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,10,71.38888889,1,1,0
Blood Incantation - Hidden History of the Human Race,232,Death Metal,,,,,,,,44,,,,,,41,,,,,,,,,,,,,,,,,,,,42.50,21.25,71.38888889,2,0,0
Karenn - Grapefruit Regret,194,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,11,71.44444444,1,0,0
Sarathy Korwar - More Arriving,302,Hip Hop,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,11.00,11,71.44444444,1,0,0
